weld_summer_b4_20##, Landsat7 summer composite NIR reflectance in year 20## (range 2003-2012)
weld_summer_b5_20##, Landsat7 summer composite SWIR1 reflectance in year 20## (range 2003-2012)
weld_summer_b61_20##, Landsat7 summer composite thermal (low gain channel) reflectance in year 20## (range 2003-2012)
weld_summer_b62_20##, Landsat7 summer composite thermal (high gain channel) reflectance in year 20## (range 2003-2012)
weld_summer_b7_20##, Landsat7 summer composite SWIR2 reflectance in year 20## (range 2003-2012)
mod_annual_Band_1_2001, MODIS NDVI value at time of annual peak NDVI in year 20## (range 2001-2016)
mod_annual_Band_2_20##, MODIS EVI value at time of annual peak NDVI in year 20## (range 2001-2016)
mod_annual_Band_3_20##, MODIS red band value at time of annual peak NDVI in year 20## (range 2001-2016)
mod_annual_Band_4_20##, MODIS NIR band value at time of annual peak NDVI in year 20## (range 2001-2016)
mod_annual_Band_5_20##, MODIS blue band value at time of annual peak NDVI in year 20## (range 2001-2016)
mod_annual_Band_6_20##, MODIS MIR band value at time of annual peak NDVI in year 20## (range 2001-2016)
mod_annual_Band_8_20##, MODIS annual delta peak NDVI in year 20## (range 2001-2016) where delta is year i peak minus long-term median annual peak
mod_spring_Band_1_20##, MODIS NDVI value at time of spring peak NDVI in year 20## (range 2001-2016)
mod_spring_Band_2_20##, MODIS EVI value at time of spring peak NDVI in year 20## (range 2001-2016)
mod_spring_Band_3_20##, MODIS red band value at time of spring peak NDVI in year 20## (range 2001-2016)
mod_spring_Band_4_20##, MODIS NIR band value at time of spring peak NDVI in year 20## (range 2001-2016)
mod_spring_Band_5_20##, MODIS blue band value at time of spring peak NDVI in year 20## (range 2001-2016)
mod_spring_Band_6_20##, MODIS MIR band value at time of spring peak NDVI in year 20## (range 2001-2016)
mod_spring_Band_8_20##, MODIS spring delta peak NDVI in year 20## (range 2001-2016) where delta is year i spring peak minus long-term median spring peak
mod_summer_Band_1_20##, MODIS NDVI value at time of summer peak NDVI in year 20## (range 2001-2016)
mod_summer_Band_2_20##, MODIS EVI value at time of summer peak NDVI in year 20## (range 2001-2016)
mod_summer_Band_3_20##, MODIS red band value at time of summer peak NDVI in year 20## (range 2001-2016)
mod_summer_Band_4_20##, MODIS NIR band value at time of summer peak NDVI in year 20## (range 2001-2016)
mod_summer_Band_5_20##, MODIS blue band value at time of summer peak NDVI in year 20## (range 2001-2016)
mod_summer_Band_6_20#, MODIS MIR band value at time of summer peak NDVI in year 20## (range 2001-2016)
mod_summer_Band_8_20##, MODIS spring delta peak NDVI in year 20## (range 2001-2016) where delta is year i spring peak minus long-term median spring peak
mod_annual_medPNDVI, MODIS long-term median annual peak NDVI based on 2001-2016 MOD13Q1.006 collection from EarthEngine
mod_spring_medPNDVI, MODIS long-term median spring (Mar-May)peak NDVI based on 2001-2016 MOD13Q1.006 collection from EarthEngine
mod_summer_medPNDVI, MODIS long-term median summer (Jun-Aug) peak NDVI based on 2001-2016 MOD13Q1.006 collection from EarthEngine
